"GENE_SYMBOL","logFC","adj.P.Val"
"DNAAF1",1.04478320332517,0.000563603104962939
"ST6GALNAC1",1.23309904913739,8.38664709754272e-14
"CCL18",1.13345689233047,6.20810142911548e-14
"SLC14A1",-1.59971440528383,4.99458622633502e-16
"SERPINB3",1.78149719296247,3.96004827299935e-05
"DQX1",1.11618682457439,1.39585408916438e-10
"MMP11",1.95777644479872,4.16180828585951e-23
"CLDN1",1.05208121619313,9.48963549339978e-13
"ANXA10",1.01630871149575,5.64749143329859e-06
"SLCO4A1",-1.11281930763537,3.72009147939463e-10
"UGT1A6",2.30581128508796,9.85052325982551e-15
"CPXM1",1.63930165689233,1.70425725950134e-21
"ZBBX",1.42240480555714,1.17244479719689e-05
"SCG5",2.30620313158344,3.97413645540457e-39
"AGTR2",-1.66209239879291,3.26171659198228e-09
"UTS2",1.06922191539031,1.26243953635969e-07
"OIT3",1.07594005010533,4.89401584104462e-11
"KLF6",-1.05974810681546,2.49683307271419e-36
"KCNMB4",-1.19169985765529,1.96223525931478e-27
"MT1M",-1.01166672550247,4.27807194609302e-12
"CCL11",1.3986248306098,3.22644859186183e-16
"RGS9",-1.25653630928657,3.00812099782928e-22
"KCNN4",1.21243321186585,3.08596178462617e-26
"CXCR1",-1.05615513864373,1.71906273674475e-11
"SEMA3G",-1.35892949382223,2.78071966023721e-16
"NMU",1.40889214257245,8.2963733770948e-13
"HMMR",1.08782219438592,2.6165031675913e-22
"VEGFA",-1.30970567101292,6.67671639961596e-27
"C6orf103",1.17949258099413,3.65224660762531e-05
"IL6",-2.03864888686442,8.45363472186305e-15
"PSCA",1.03256436827421,0.00234316322145825
"IL1A",-1.27848049877583,1.62774306828619e-13
"SDPR",-1.15459071912543,5.51769321812385e-27
"GPIHBP1",-1.48806498320332,1.4365495662601e-22
"SPP1",2.62924148493992,6.97091995535674e-16
"NCRNA00185",1.09808530433297,0.0277890985588924
"S100A12",-1.03956459602573,3.42479286797224e-09
"BTNL8",-1.18410399134544,5.15850395987816e-07
"TIMD4",1.02875043557478,2.67254883253361e-06
"DYDC2",1.24073654273188,6.39186292737949e-05
"C11orf9",-1.71806202812731,4.55937710321398e-31
"KRT6B",1.15378402892444,3.49273543230717e-06
"ASPG",-1.5581036724933,9.11114146050165e-16
"SIX1",1.47141533337129,4.40311825769839e-10
"TUBB3",2.45574447987245,7.65837014413902e-33
"CRYM",1.06844968968855,5.44945408024888e-22
"TMEM88",-1.02675352730171,3.59024106252105e-29
"CCL7",2.15593420258497,1.7476726252324e-15
"B3GNT3",1.62587975288959,8.68522062737859e-14
"MGC16025",1.67438553777828,6.79693855563296e-17
"PCSK2",1.31932771166657,3.65959962029221e-10
"FER1L4",1.5347314695667,2.0783138788425e-18
"LOC400891",1.303192262142,3.75354407939086e-05
"SYN3",-1.02285521835677,1.90589917970055e-19
"RBP2",-1.49270497067699,5.60788748322145e-17
"TDO2",2.26834002733018,4.46413467759199e-33
"SFRP2",2.07427448613562,3.26584908886758e-21
"BTNL9",-2.18543193076353,1.61743299026201e-26
"FAT2",1.31868037920628,9.68818377431842e-12
"PDE6A",-1.3505324261231,9.69194165439595e-26
"NPTX2",1.01165024767978,1.4464611188545e-08
"LAMC3",-1.16090674713886,1.15390159620015e-16
"MZB1",1.93721771906849,5.14050244484802e-21
"FAM107A",-1.76739149917439,2.65140558322989e-33
"IL13RA2",2.95450281842509,7.41531398771938e-40
"IGSF9",1.18595097079086,1.70178424628493e-18
"ARMC3",1.25231428571429,9.16886772846881e-05
"ADARB2",-1.03946545009394,4.93364353865169e-17
"PIP",1.73933453851847,1.54127247212434e-06
"SAA4",1.32214893810852,7.52584224430805e-07
"ATP12A",1.45340173091157,2.1144014077259e-07
"CYP3A5",-1.34971893184535,2.09995112072459e-21
"DLGAP5",1.20186953253999,4.94747350780938e-21
"PER1",-1.18687461139896,2.78694341383142e-18
"STAR",1.03726077549393,1.12865536476211e-08
"CYP2F1",1.057953197062,0.00213189612203722
"PPP1R15A",-1.13708534418948,3.04782074660606e-32
"SNTN",1.15843236349143,0.000145821040511299
"TTC29",1.08605588452998,0.000192664201452593
"CCNO",1.42908164322724,6.04030470889299e-07
"C6",1.26562336161248,2.21424615632385e-08
"GSTA5",1.35176523373,5.4870791249531e-07
"LGSN",1.61521452485338,1.07975526949396e-11
"AGER",-1.94553999886124,2.49602438957758e-24
"AKR1B10",1.22547474235609,6.84810324190112e-06
"MELK",1.01725538917041,5.26458870564906e-21
"FBP2",-1.35790208962022,8.91356936954091e-17
"DBC1",-1.79627445766668,3.09648641185664e-19
"KRT17",2.02932690314866,2.5301145305998e-12
"ERCC6L",1.20799926550133,3.37132045294905e-19
"TXLNG2P",1.08790780048966,0.00482935486377718
"TNFSF11",1.23726314410977,3.23699396099751e-18
"C13orf15",-1.26877880772077,4.70804715581934e-31
"DAPK2",-1.0863257871662,8.2836217623432e-23
"MUC5B",1.62743516483516,1.76037136560199e-08
"HS6ST2",2.41835726812047,4.06556945378327e-31
"VIPR1",-2.1194818026533,7.9582330012253e-23
"UPK3B",-1.01989055969937,2.28843749459901e-12
"ENKUR",1.01205140921255,0.000369568935498254
"RAMP2",-1.01288807720776,1.07672319790188e-20
"DNAH5",1.02507721346011,7.36090904399005e-07
"SEMA3E",-1.71340425325969,2.22721710218116e-21
"CCL13",1.37829984626772,1.04211836520754e-18
"DNAH17",-1.20645422763764,4.46371676236954e-24
"RTKN2",-2.01412758070944,2.71288374369829e-18
"MGAT5B",-1.05968455275294,2.12473956935823e-14
"HBEGF",-1.68922008199054,5.80622776740573e-30
"MSMB",1.94708582816147,6.37114936801548e-05
"SERPINE1",-1.56522732448898,1.73844205931189e-12
"PCSK1",2.10246716392415,9.26289904638744e-17
"CXCL3",-1.1444695780903,1.73844205931189e-12
"COCH",1.20501785002562,1.04139709095896e-20
"ZSCAN4",1.01091310140636,1.03668244133853e-12
"MUC4",1.4871709161305,3.36432352708711e-09
"SEMA6A",-1.15862076524511,3.67667316572502e-22
"SPAG6",1.36038394351762,8.07985744913377e-06
"OLFML2A",-1.19336330353584,1.9567643846838e-29
"PLA2G1B",-1.04689271764505,2.47254712920171e-08
"FGFBP2",-1.53377523771565,5.35953616601968e-16
"KRT13",1.48067449182941,4.26769076183367e-12
"TUBB1",-1.0316457495872,2.07310483051166e-08
"C9orf117",1.11755907874509,0.000205828153797898
"LGALS7",1.56734525422763,8.63375095625148e-11
"C18orf56",1.24685671582303,7.18470990542426e-23
"GADD45B",-1.31632124352331,2.48819776377086e-25
"JUNB",-1.2738562546262,1.69602666047773e-17
"SLC5A9",-2.33793717474235,1.22822503020985e-24
"SSTR1",-1.50135220064909,5.06930127968847e-19
"FAM154B",1.11232533735694,3.75708493916788e-05
"PTGS2",-1.03842362922052,3.40579126729891e-14
"CXCR5",1.13988250298924,1.31789365448219e-09
"C9orf135",1.11716563798895,1.56765982371691e-05
"MME",-1.36409615099926,2.95720785064228e-21
"THBS4",1.31218802596367,2.71583967185301e-23
"COMP",2.64302514376814,2.96539284245467e-34
"SPRY4",-1.09047637077948,7.66056257893725e-24
"ADAMTS14",2.0372562546262,2.68821223723289e-33
"C10orf81",1.57606223879747,1.33477054308282e-06
"P4HA3",1.7053903034789,1.2971553822818e-23
"KCTD16",-1.02892987530604,4.41810563431722e-14
"TUBB2B",1.28572861128508,7.52670938320179e-17
"SERPINA5",1.24568014576097,4.7832840973393e-13
"ESCO2",1.1997097876217,4.56637369673605e-23
"KLK13",1.05299284290839,2.90319386615443e-07
"FGF12",-1.12786222171611,5.58356250566054e-16
"SAA1",1.39649148209303,1.10750805494645e-06
"DSC3",1.91228407447474,5.66970275939315e-15
"GPR158",-1.53048872060582,1.63817866416998e-14
"SLAMF7",1.10438750213517,2.73334392868234e-16
"SLC25A25",-1.04294261800375,1.06084484475964e-21
"HTR2A",1.35048672777999,1.99804750806311e-19
"SERTM1",-2.64703300688948,7.74625752442093e-28
"DUSP2",-1.07252071969481,6.15783163860743e-16
"PDK1",1.05586644650686,2.41308991475679e-21
"PIM2",1.10622891305585,2.44310524630627e-17
"GRIN2A",1.02325524113192,2.13787298775918e-10
"OSTalpha",1.02871031714399,8.5902934785753e-07
"LRRC32",-1.01164151340887,1.36361548719898e-20
"PRX",-1.4045432158515,3.29132997304114e-23
"CENPM",1.11641365370381,2.75776017478114e-19
"MORN5",1.2127129419803,0.000136447114767422
"FLJ34503",-1.48111723509651,5.58107268089824e-17
"CENPA",1.08711708136423,3.8150056350549e-18
"C1orf173",1.11044147924614,0.000246684037249671
"ITLN2",-3.03766459033194,7.66056257893725e-24
"GLT25D2",-1.07596485793998,1.80311078840327e-25
"KLHDC8A",1.05695789443717,3.94092875102582e-14
"YSK4",1.10134938222399,0.000234641027319943
"TMEM229A",2.44922677788532,3.97162345795306e-28
"CNTN3",1.44831398394351,3.0447986877281e-25
"HPGD",-1.24902637932016,3.4228277609866e-14
"PF4",-1.02593727723054,3.73866823786807e-09
"ANKRD30BP2",1.31303301258327,3.60025684272532e-11
"COL3A1",1.86478176279678,3.26936443140472e-31
"FAM150A",1.28517176450492,2.10505387973381e-15
"EFNB3",1.22534237317087,2.26755362994047e-18
